Member A,Class A,Member B,Class B,Volume (m³)
136,horizontal,139,horizontal,6.400172e-07
396,brace,404,brace,2.618756e-06
297,brace,301,brace,6.133394e-06
140,horizontal,41,leg,N/A
405,brace,406,brace,2.134046e-06
102,horizontal,105,horizontal,6.399562e-07
365,brace,389,brace,2.280347e-06
331,brace,57,leg,N/A
413,brace,87,leg,N/A
273,brace,277,brace,4.751185e-06
363,brace,386,brace,1.320182e-07
403,brace,82,leg,N/A
448,brace,449,brace,2.630847e-06
19,leg,246,brace,N/A
0,leg,210,brace,N/A
205,horizontal,444,brace,7.691083e-06
409,brace,418,brace,3.673201e-09
105,horizontal,207,brace,6.399562e-07
154,horizontal,157,horizontal,6.399677e-07
135,horizontal,275,brace,6.212534e-07
111,horizontal,225,brace,6.399562e-07
101,horizontal,96,horizontal,1.545131e-06
436,brace,91,leg,N/A
108,horizontal,217,brace,7.853698e-06
355,brace,68,leg,N/A
191,horizontal,409,brace,5.540765e-06
295,brace,45,leg,N/A
71,leg,75,leg,N/A
308,brace,50,leg,N/A
310,brace,52,leg,N/A
297,brace,46,leg,N/A
199,horizontal,433,brace,3.532980e-07
369,brace,69,leg,N/A
174,horizontal,368,brace,5.263842e-06
443,brace,452,brace,5.052305e-09
125,horizontal,21,leg,N/A
3,leg,7,leg,N/A
140,horizontal,36,leg,N/A
147,horizontal,40,leg,N/A
123,horizontal,127,horizontal,1.545131e-06
204,horizontal,94,leg,N/A
442,brace,443,brace,2.629897e-06
149,horizontal,311,brace,6.995711e-07
338,brace,63,leg,N/A
20,leg,247,brace,N/A
256,brace,26,leg,N/A
394,brace,418,brace,2.453135e-06
280,brace,38,leg,N/A
50,leg,54,leg,N/A
307,brace,319,brace,7.030888e-06
278,brace,31,leg,N/A
183,horizontal,78,leg,N/A
316,brace,53,leg,N/A
359,brace,368,brace,3.725199e-09
137,horizontal,273,brace,6.582533e-07
15,leg,246,brace,N/A
376,brace,400,brace,2.500191e-06
222,brace,4,leg,N/A
124,horizontal,21,leg,N/A
11,leg,229,brace,N/A
361,brace,77,leg,N/A
296,brace,45,leg,N/A
263,brace,28,leg,N/A
273,brace,38,leg,N/A
408,brace,433,brace,1.834685e-07
315,brace,57,leg,N/A
273,brace,35,leg,N/A
166,horizontal,60,leg,N/A
108,horizontal,11,leg,N/A
342,brace,60,leg,N/A
107,horizontal,228,brace,7.851999e-06
446,brace,92,leg,N/A
113,horizontal,235,brace,6.400172e-07
139,horizontal,283,brace,6.197174e-07
276,brace,29,leg,N/A
173,horizontal,358,brace,2.824935e-05
315,brace,331,brace,9.478985e-06
241,brace,245,brace,3.519421e-06
157,horizontal,321,brace,7.040893e-07
371,brace,372,brace,2.381810e-06
383,brace,384,brace,2.263015e-06
381,brace,83,leg,N/A
261,brace,27,leg,N/A
54,leg,58,leg,N/A
307,brace,311,brace,6.405012e-06
203,horizontal,447,brace,7.142746e-06
212,brace,97,horizontal,1.044109e-06
181,horizontal,365,brace,5.188296e-06
26,leg,269,brace,N/A
106,horizontal,216,brace,6.400783e-07
152,horizontal,155,horizontal,1.545057e-06
174,horizontal,175,horizontal,9.112402e-07
234,brace,246,brace,3.476685e-06
175,horizontal,369,brace,5.263844e-06
140,horizontal,40,leg,N/A
125,horizontal,22,leg,N/A
428,brace,453,brace,2.397090e-07
